text,label
Government launches new digital education platform for rural students,REAL
India reports steady economic growth in quarterly GDP results,REAL
Scientists develop AI model to predict climate change patterns,REAL
WHO approves new vaccine after successful trials,REAL
Supreme Court introduces reforms to reduce case backlog,REAL
New electric bus service launched in metropolitan cities,REAL
Researchers discover water reserves beneath Mars surface,REAL
Finance ministry announces tax relief for small businesses,REAL
Indian Railways adds new Vande Bharat train routes,REAL
NASA releases images captured by James Webb telescope,REAL
University introduces AI-based attendance monitoring system,REAL
New policy aims to boost women entrepreneurship in India,REAL
Scientists confirm benefits of yoga on mental health,REAL
Government increases budget allocation for renewable energy,REAL
Tech company launches affordable smartphone for students,REAL
Indian startup develops low-cost water purification system,REAL
Health ministry launches nationwide vaccination drive,REAL
New traffic rules implemented to reduce road accidents,REAL
Researchers find link between exercise and improved memory,REAL
Space agency plans mission to study asteroids,REAL
Education board announces revised examination schedule,REAL
Banks introduce digital loan approval systems,REAL
New agriculture scheme supports organic farming,REAL
Indian scientists develop eco-friendly plastic alternative,REAL
Metro rail expansion project approved by government,REAL
Weather department predicts normal monsoon this year,REAL
Researchers create AI tool to detect cyber fraud,REAL
Government launches employment portal for graduates,REAL
Medical researchers identify early signs of heart disease,REAL
Startup introduces solar-powered charging stations,REAL
International summit focuses on climate change solutions,REAL
Public health report highlights rise in fitness awareness,REAL
Tech firms collaborate to improve data security standards,REAL
Indian Navy conducts maritime safety exercises,REAL
New recycling plant inaugurated in industrial zone,REAL
Scientists discover protein linked to brain development,REAL
Digital payments surge across small towns in India,REAL
Government promotes electric vehicle adoption incentives,REAL
Researchers develop app for early diabetes detection,REAL
Education ministry announces free online skill courses,REAL
AI system beats humans in complex strategy games,REAL
Healthcare startup uses AI for faster diagnosis,REAL
Government launches portal for farmer subsidies,REAL
Researchers find new species in deep ocean,REAL
Public transport fares revised after fuel price changes,REAL
Indian IT exports show consistent annual growth,REAL
Scientists publish findings on air pollution control,REAL
Government approves funding for smart city projects,REAL
New cyber law strengthens online privacy protection,REAL
Researchers design battery with faster charging time,REAL
Aliens secretly controlling world governments,FAKE
Drinking lemon water cures cancer completely,FAKE
Scientists confirm humans can survive without oxygen,FAKE
Government to ban smartphones starting next month,FAKE
Eating ice cream daily guarantees weight loss,FAKE
Secret city found beneath the Great Pyramid,FAKE
Time travel device tested by school student,FAKE
Earth will stop rotating for five seconds tomorrow,FAKE
Vaccines implanted with tracking microchips,FAKE
Celebrities claim sun will explode next year,FAKE
Scientists discover pill that grants immortality,FAKE
5G towers cause instant memory loss,FAKE
Government hiding proof of flat earth theory,FAKE
New virus spreads through social media likes,FAKE
Drinking cola removes toxins from blood,FAKE
Aliens living among humans revealed in leaked video,FAKE
Mobile phones read human thoughts secretly,FAKE
Moon landing staged in secret film studio,FAKE
Eating chocolate cures all diseases,FAKE
Secret tunnel connects India and America,FAKE
Government plans to replace humans with robots,FAKE
Water turns people invisible under moonlight,FAKE
Scientists say sleeping is no longer necessary,FAKE
Birds are government surveillance drones,FAKE
Earth is actually hollow inside,FAKE
Internet will shut down permanently next week,FAKE
Eating garlic grants superhuman strength,FAKE
New law bans breathing polluted air,FAKE
Aliens communicate via television signals,FAKE
Drinking saltwater reverses aging,FAKE
Scientists find humans can photosynthesize,FAKE
Mobile apps secretly steal human emotions,FAKE
Volcano eruption predicted by astrologers,FAKE
Eating only fruits makes people immortal,FAKE
Government plans to control weather using machines,FAKE
Humans evolved from extraterrestrial species,FAKE
Secret experiment turns people into superheroes,FAKE
Sleeping with phone under pillow boosts intelligence,FAKE
Scientists confirm teleportation achieved,FAKE
Earth will collide with Mars this year,FAKE
Vaccines alter human DNA permanently,FAKE
New app predicts death date accurately,FAKE
Sun rising in the west confirmed by scientists,FAKE
Animals can talk but choose not to,FAKE
Secret island disappears from maps,FAKE
Government replaces money with mind control chips,FAKE
Eating bananas causes instant muscle growth,FAKE
